"n","B","j","proj_lambda","delta_lambda","psi_proj","psi_delta","se_proj","se_delta","lower_proj","upper_proj","lower_delta","upper_delta"
1000,2,6,0.113446794176185,0.113446794176185,1.79363232708669,1.8391112272876,0.12535641428328,0.116161987753502,1.54793375509146,2.03933089908192,1.61143373129074,2.06678872328447
1000,2,7,0.103368493654039,0.103368493654039,1.7963492485842,1.83837719822423,0.12523822929746,0.116603358480791,1.55088231916118,2.04181617800722,1.60983461560188,2.06691978084658
1000,2,8,0.094185521573321,0.094185521573321,1.7963583940375,1.83837731939038,0.125237356245809,0.116593993541942,1.55089317579571,2.04182361227928,1.60985309204818,2.06690154673259
1000,2,9,0.0858183394229221,0.0858183394229221,1.79619488102871,1.83837800400137,0.125251775543432,0.116709830710065,1.55070140096359,2.04168836109384,1.60962673580964,2.0671292721931
1000,2,10,0.0781944746738442,0.0781944746738442,1.79658510383742,1.83837842938189,0.125255670404472,0.116873478239261,1.55108398984465,2.04208621783018,1.60930641203294,2.06745044673084
1000,2,11,0.0712478930568227,0.0712478930568227,1.79618236530874,1.83838721586332,0.125267765672126,0.116937400429543,1.55065754459138,2.04170718602611,1.60918991102141,2.06758452070522
1000,2,12,0.0649184266050762,0.0649184266050762,1.79820538678715,1.83838900056126,0.125311746603098,0.116836272364586,1.55259436344508,2.04381641012922,1.60938990672667,2.06738809439584
1000,2,13,0.0591512525081623,0.0591512525081623,1.79823070829475,1.83839018055917,0.125306273009188,0.11689589549856,1.55263041319675,2.04383100339276,1.60927422538199,2.06750613573635
1000,2,14,0.0538964182630205,0.0538964182630205,1.79797271239256,1.83839452011652,0.125307448634368,0.116779853294043,1.5523701130692,2.04357531171592,1.6095060076602,2.06728303257285
1000,2,15,0.0491084090092869,0.0491084090092869,1.79546435697374,1.83839720667153,0.125196777143683,0.118607389049072,1.55007867377212,2.04085004017536,1.60592672413535,2.07086768920771
1000,2,16,0.0447457533013486,0.0447457533013486,1.79499132647378,1.83840167589579,0.125156894249596,0.119701704919097,1.54968381374457,2.04029883920299,1.60378633425436,2.07301701753722
1000,2,17,0.0407706639025205,0.0407706639025205,1.79346091540782,1.83223662116336,0.125170456869044,0.118965459136966,1.5481268199445,2.03879501087115,1.59906432125491,2.06540892107181
1000,2,18,0.0371487104900789,0.0371487104900789,1.79331880045595,1.83300726099966,0.125166599700592,0.11887039926042,1.54799226504279,2.03864533586911,1.60002127844923,2.06599324355008
1000,3,1,0.186552262966575,0.186552262966575,1.39207045620305,1.39065494585342,0.113047702132592,0.0975547505763049,1.17049696002317,1.61364395238293,1.19944763472386,1.58186225698297
1000,3,2,0.178073174701516,0.178073174701516,1.39207222444694,1.39065549788929,0.113047779707557,0.097546997587948,1.17049857622013,1.61364587267375,1.19946338261691,1.58184761316167
1000,3,3,0.169979474084206,0.169979474084206,1.39211309515283,1.41702961482871,0.113048111877125,0.0973080587216378,1.17053879587367,1.613687394432,1.2263058197343,1.60775340992312
1000,3,4,0.162253644651269,0.162253644651269,1.392153481313,1.42135482804786,0.11304386809664,0.0977929157414016,1.17058749984359,1.61371946278241,1.22968071319471,1.613028942901
1000,3,5,0.154878966089626,0.154878966089626,1.39214757688527,1.42128678573385,0.113043437516006,0.097797481344047,1.17058243935389,1.61371271441664,1.22960372229952,1.61296984916818
1000,3,6,0.147839478050233,0.147839478050233,1.39211856888486,1.42618997077113,0.113042447528201,0.099516302537983,1.17055537172959,1.61368176604014,1.23113801779669,1.62124192374558
1000,3,7,0.141119945606541,0.141119945606541,1.39212400068123,1.42542498581658,0.113042384089491,0.0993743520073373,1.17056092786583,1.61368707349664,1.2306512558822,1.62019871575096
1000,3,8,0.134705826282926,0.134705826282926,1.39212729967091,1.42624378851955,0.113042450427815,0.0994737579595377,1.17056409683239,1.61369050250943,1.23127522291886,1.62121235412025
1000,3,9,0.128583238581724,0.128583238581724,1.39212968764265,1.42624423782499,0.113042507038621,0.099477852977401,1.17056637384695,1.61369300143834,1.23126764598929,1.6212208296607
1000,3,10,0.122738931940765,0.122738931940765,1.39212152305665,1.42626265525613,0.113038642418343,0.0995039087739965,1.1705657839167,1.6136772621966,1.2312349940591,1.62129031645316
1000,3,11,0.117160258056379,0.117160258056379,1.39212090304462,1.42626257034027,0.113038520337731,0.0995058662556303,1.17056540318267,1.61367640290657,1.23123107247923,1.6212940682013
1000,3,12,0.111835143509819,0.111835143509819,1.39225002590707,1.39640692622059,0.113036231697708,0.102173985134048,1.17069901177956,1.61380104003458,1.19614591535785,1.59666793708332
1000,4,1,0.246113516797649,0.246113516797649,1.82022868172007,1.81458979861862,0.133992799766471,0.124822334620765,1.55760279417779,2.08285456926236,1.56993802276192,2.05924157447532
1000,4,2,0.234927277622812,0.234927277622812,1.82025008546927,1.81597831660631,0.133991800083212,0.12471389980704,1.55762615730617,2.08287401363236,1.57153907298452,2.06041756022811
