"B","j","proj_lambda","delta_lambda","psi_proj","psi_delta","se_proj","se_delta","lower_proj","upper_proj","lower_delta","upper_delta"
6,1,0.444376111767572,0.444376111767572,1.43026106517231,1.40181997437096,0.167857059043587,0.151552575818311,1.10126122944688,1.75926090089774,1.10477692576707,1.69886302297485
6,2,0.424178531665122,0.424178531665122,1.43030706413757,1.40182242897545,0.167858164094287,0.151178364280989,1.10130506251277,1.75930906576237,1.10551283498471,1.69813202296619
6,3,0.404898962750026,0.404898962750026,1.43455985678004,1.40184297133544,0.167817004137974,0.151324030653412,1.10563852866961,1.76348118489047,1.10524787125476,1.69843807141613
6,4,0.386495679997014,0.386495679997014,1.4335033712541,1.4018430167821,0.167812596311814,0.15132345563848,1.10459068248294,1.76241606002525,1.10524904373068,1.69843698983352
6,5,0.368928854847616,0.368928854847616,1.43368460576315,1.40184699640815,0.167880511660257,0.151858983611038,1.10463880290905,1.76273040861725,1.10420338853051,1.69949060428578
6,6,0.35216046901281,0.35216046901281,1.43368007405034,1.40184715187092,0.167879136260433,0.151853029720267,1.1046369669799,1.76272318112079,1.1042152136192,1.69947909012265
6,7,0.336154232193485,0.336154232193485,1.43367545353807,1.40184969516763,0.167879384773357,0.151587826699382,1.10463185938229,1.76271904769385,1.10473755483684,1.69896183549842
6,8,0.320875503540635,0.320875503540635,1.43370186205321,1.40185041747554,0.167880766014352,0.151449860220561,1.10465556066508,1.76274816344134,1.10500869144324,1.69869214350784
6,9,0.306291216685302,0.306291216685302,1.43368376177381,1.40185041655776,0.167880225609288,0.151456362663399,1.1046385195796,1.76272900396801,1.1049959457375,1.69870488737802
6,10,0.292369808176031,0.292369808176031,1.43378527434095,1.40331050604944,0.167882278159031,0.151339044697893,1.10473600914924,1.76283453953265,1.10668597844157,1.69993503365731
6,11,0.279081149168946,0.279081149168946,1.43566341221809,1.41582281991674,0.167659272625674,0.148777167005707,1.10705123787177,1.76427558656441,1.12421957258555,1.70742606724792
6,12,0.266396480222629,0.266396480222629,1.4357409732381,1.41660086933534,0.167666460959832,0.148802419578928,1.10711470975683,1.76436723671937,1.12494812696064,1.70825361171003
6,13,0.254288349056655,0.254288349056655,1.43575216446724,1.41660130685317,0.167667201911647,0.148739279309594,1.10712444872042,1.76437988021407,1.12507231940636,1.70813029429997
6,14,0.242730551139116,0.242730551139116,1.43575737706238,1.41660132827567,0.167666838580329,0.148738899574367,1.10713037344493,1.76438438067982,1.12507308510991,1.70812957144143
6,15,0.23169807297452,0.23169807297452,1.43363129603186,1.42871580617632,0.167241637550468,0.150706306855411,1.10583768643294,1.76142490563078,1.13333144473971,1.72410016761292
6,16,0.221167037969349,0.221167037969349,1.43397894082883,1.42403741969005,0.16722596215954,0.150520858310403,1.10621605499613,1.76174182666153,1.12901653740166,1.71905830197844
6,17,0.211114654758111,0.211114654758111,1.43487813548179,1.41870676676776,0.167221018708182,0.149706215812908,1.10712493881376,1.76263133214983,1.12528258377446,1.71213094976106
6,18,0.201519167878051,0.201519167878051,1.43427099611777,1.41951358383183,0.167171435637089,0.14993710848064,1.10661498226907,1.76192700996646,1.12563685120978,1.71339031645389
6,19,0.19235981068577,0.19235981068577,1.43421174009549,1.42112273907085,0.167156574833221,0.1502268935644,1.10658485342237,1.7618386267686,1.12667802768463,1.71556745045708
7,1,0.262258598785523,0.262258598785523,2.21417539407057,2.21448890752766,0.222581895988608,0.216687491960557,1.77791487793289,2.65043591020824,1.78978142328497,2.63919639177035
7,2,0.250338540717016,0.250338540717016,2.214218339211,2.21448894336265,0.222578015349589,0.216611223432725,1.77796542912581,2.6504712492962,1.78993094543451,2.63904694129079
7,3,0.238960267684404,0.238960267684404,2.21416265761348,2.21448893745844,0.222568804212126,0.216630393504597,1.77792780135771,2.65039751386925,1.78989336618943,2.63908450872745
7,4,0.228099154721646,0.228099154721646,2.21416962589017,2.21448047940563,0.222568857146023,0.216223740479499,1.77793466588397,2.65040458589638,1.79068194806581,2.63827901074545
7,5,0.217731696105416,0.217731696105416,2.21416913574805,2.21448042471094,0.222569129509284,0.216199589198389,1.77793364190985,2.65040462958625,1.7907292298821,2.63823161953978
7,6,0.207835454483789,0.207835454483789,2.21417000182628,2.21448029462137,0.222569186164257,0.21606736172633,1.77793439694433,2.65040560670822,1.79098826563776,2.63797232360498
7,7,0.198389012317111,0.198389012317111,2.21417322665224,2.21448001500223,0.222569273188398,0.21624357280106,1.77793745120298,2.65040900210151,1.79064261231215,2.63831741769231
7,8,0.189371925525964,0.189371925525964,2.21418897376467,2.21448001173732,0.222573223079502,0.216245872314377,1.77794545652885,2.65043249100049,1.79063810200115,2.6383219214735
7,9,0.180764679245889,0.180764679245889,2.21396524807073,2.21600326807549,0.222569986987161,0.216572324982527,1.77772807357589,2.65020242256557,1.79152151110973,2.64048502504124
7,10,0.172548645593135,0.172548645593135,2.21396150945808,2.21600327725013,0.222569435122011,0.216585552719078,1.77772541661894,2.65019760229723,1.79149559392074,2.64051096057953
7,11,0.164706043350017,0.164706043350017,2.21388866696666,2.21600329310237,0.22255591623081,0.216554128321346,1.77767907115427,2.65009826277904,1.79155720159253,2.64044938461221
7,12,0.157219899482635,0.157219899482635,2.21389126881998,2.21600338544576,0.222557165666432,0.216539937705989,1.77767922411377,2.65010331352619,1.79158510754202,2.6404216633495
