"n","B","j","delta_lambda","kappa_IM","psi_delta","se_delta","lower_delta","upper_delta"
1000,37,1,0.548997150382944,72.6413347052427,1.54829488665735,0.125375056613195,1.30255977569549,1.79402999761921
1000,38,1,0.255247456049581,7070526.56982448,2.90283502100342,0.258031060449574,2.39709414252226,3.40857589948459
1000,39,1,0.607094150527995,16214.5712899859,1.4505001847205,0.112628970844595,1.22974740186509,1.6712529675759
1000,40,1,0.620729191153224,64.591252838711,1.65089864122424,0.115847836445712,1.42383688179064,1.87796040065784
1000,41,1,0.316589246359761,18676.4497794131,2.85947695566224,0.253318583902918,2.36297253121252,3.35598138011196
1000,42,1,0.725561481061609,1603.17955201075,1.43880168791619,0.112500594265985,1.21830052315486,1.65930285267752
1000,43,1,0.523522887484826,25892.5239849997,1.5083231478208,0.121885758948035,1.26942706028266,1.74721923535895
1000,44,1,0.728521035860905,55215.8867547641,1.52522151430073,0.114765114304737,1.30028189026344,1.75016113833801
1000,45,1,0.461192306180929,11520.9256405106,2.7806698941969,0.235727212007647,2.31864455866191,3.24269522973189
1000,46,1,1.04901499262965,65.2283538443853,1.40879081949286,0.122038982648239,1.16959441350232,1.64798722548341
1000,47,1,0.748374258402995,19022.6935674605,1.42328723424893,0.132645704415504,1.16330165359454,1.68327281490332
1000,48,1,0.289369412718739,3792399.90398265,3.29983902884497,0.247697296288611,2.81435232811929,3.78532572957064
1000,49,1,0.688374093712471,33692.7882281414,1.80479168857982,0.143777332874654,1.52298811614549,2.08659526101414
1000,50,1,0.850806724580869,11.4375379140688,1.39676556647037,0.118610251139555,1.16428947423684,1.6292416587039
1000,51,1,0.55256204014889,15.8626495654761,1.3469668766388,0.122406474203565,1.10705018719981,1.58688356607779
1000,52,1,0.228028511345267,1633564.1066843,2.0877741662041,0.146547674306723,1.80054072456292,2.37500760784528
1000,53,1,0.741719143034888,60.0490667504873,1.49565968966677,0.120946771365216,1.25860401779095,1.7327153615426
1000,54,1,0.709998534770125,15.2089010055914,1.37330554606499,0.126152373171605,1.12604689464864,1.62056419748133
1000,55,1,0.860561265281067,16.2270207201419,1.5005874574321,0.117741144155635,1.26981481488706,1.73136009997715
1000,56,1,0.713637186997896,544237.966358607,1.89346521343743,0.141302150218041,1.61651299901007,2.17041742786479
